ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV074759028,338734,52.538507,13.147305,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,210357,0,2500,C,EUR,-999
SV075597949,413892,50.100668,8.600826,Frankfurt,65933,65,DE,1,AIR,100,AIR,303,0,0,1242864,0,2500,C,EUR,-999
SV075597949,413967,50.111442,8.549986,Frankfurt,65929,65,DE,1,AIR,100,AIR,303,0,0,391546,0,2500,C,EUR,-999
SV075597952,418668,50.538101,9.694667,Fulda,36043,36,DE,1,AIR,100,AIR,303,0,0,984208,0,2500,C,EUR,-999
SV075597952,418672,50.539162,9.695207,Fulda,36043,36,DE,1,AIR,100,AIR,303,0,0,1946496,0,2500,C,EUR,-999
SV075597952,418702,50.552467,9.710596,Fulda,36043,36,DE,1,AIR,100,AIR,303,0,0,1479600,0,2500,C,EUR,-999
SV074814033,393260,48.796072,9.19087,Stuttgart,70191,70,DE,1,AIR,100,AIR,303,0,0,228538,0,5000,C,EUR,-999
SV074814033,202904,48.796148,9.19088,Stuttgart,70191,70,DE,1,AIR,100,AIR,303,0,0,228538,0,5000,C,EUR,-999
SV074814033,393139,48.797515,9.190642,Stuttgart,70191,70,DE,1,AIR,100,AIR,303,0,0,649851.5,0,5000,C,EUR,-999
SV074814033,202945,48.796504,9.191196,Stuttgart,70191,70,DE,1,AIR,100,AIR,303,0,0,440263.5,0,5000,C,EUR,-999
SV074923168,427589,52.46693,13.372037,Berlin,12103,12,DE,1,AIR,100,AIR,303,0,0,1795248,0,2500,C,EUR,-999
SV075033899,427655,52.369705,13.095381,Potsdam,14478,14,DE,1,AIR,100,AIR,303,0,0,1575373,0,2500,C,EUR,-999
SV075508099,427667,52.2187834425611,13.229006400395,Trebbin,14959,14,DE,1,AIR,100,AIR,303,0,0,1795248,0,2500,C,EUR,-999
SV075508099,427690,51.722297,13.388465,Schlieben,04936,04,DE,1,AIR,100,AIR,303,0,0,1196832,0,2500,C,EUR,-999
SV074923168,428047,52.504854,13.500048,Berlin,10315,10,DE,1,AIR,100,AIR,303,0,0,1595776,0,2500,C,EUR,-999
